Soil_Type,Soil_Moisture,Temperature,Humidity,Crop_Type,Water_Needed_Per_Acre(Litres)
Sandy,63.2,18.6,36.6,Soybean,68087.33
Clay,38.5,34.3,66.9,Soybean,50224.49
Silt,53.1,16.0,46.7,Maize,66304.61
Silt,42.0,43.5,91.0,Maize,67505.16
Sandy,46.8,15.7,64.7,Rice,119242.8
Sandy,27.2,32.9,32.8,Maize,76275.25
Clay,66.5,28.1,77.6,Pulses,35283.91
Loam,33.9,20.7,31.4,Groundnut,54044.02
Sandy,40.4,29.6,53.8,Millet,51311.72
Loam,42.0,41.6,71.4,Rice,89777.97
Silt,32.3,41.0,72.0,Soybean,58377.23
Clay,33.0,26.8,84.5,Barley,51649.33
Sandy,61.6,27.4,80.0,Barley,48730.51
Sandy,45.0,26.9,31.9,Maize,62592.73
Sandy,32.7,16.7,68.4,Millet,47157.67
Clay,12.6,19.3,36.1,Millet,44886.27
Loam,67.2,43.1,66.9,Barley,46299.81
Loam,48.7,30.7,73.7,Barley,44929.82
Loam,37.6,33.4,31.4,Millet,48660.12
Sandy,78.0,44.6,35.2,Groundnut,38574.79
Loam,39.3,15.2,76.4,Groundnut,53563.53
Sandy,39.2,36.1,48.5,Cotton,100301.15
Sandy,27.6,40.3,85.1,Soybean,64836.46
Silt,75.4,31.1,43.8,Maize,56798.66
Sandy,51.6,33.2,92.8,Cotton,67068.0
Sandy,18.3,40.9,34.4,Groundnut,57259.49
Silt,50.5,29.2,41.7,Millet,36935.88
Loam,10.5,30.5,93.4,Millet,41397.25
Silt,39.7,35.4,58.7,Groundnut,58042.63
Sandy,22.1,25.4,77.7,Barley,61086.88
Silt,30.2,15.3,60.9,Soybean,66564.27
Silt,31.8,44.7,60.3,Sugarcane,93388.38
Clay,54.8,21.2,47.2,Soybean,54976.04
Sandy,76.1,32.4,51.3,Rice,101688.55
Clay,11.3,15.2,33.4,Barley,60330.62
Loam,32.3,43.3,48.2,Wheat,54616.29
Sandy,55.1,36.3,84.6,Rice,91477.92
Clay,76.2,17.6,71.8,Groundnut,33810.89
Silt,48.9,38.5,32.9,Rice,106328.28
Clay,34.3,42.8,31.8,Maize,68841.33
Sandy,37.1,23.0,92.8,Rice,100031.44
Loam,40.1,41.9,89.0,Soybean,58793.51
Loam,62.8,39.0,93.2,Wheat,40601.9
Loam,77.4,40.9,92.5,Groundnut,33106.93
Silt,43.9,33.9,87.7,Sugarcane,83213.77
Silt,79.5,38.7,38.2,Cotton,59509.79
Clay,76.2,40.3,89.3,Pulses,25861.58
Silt,72.6,41.3,85.8,Pulses,33469.95
Silt,26.1,38.3,67.6,Soybean,71160.65
Silt,59.5,31.9,81.1,Maize,58213.79
Clay,70.7,26.7,49.9,Wheat,39493.23
Clay,52.3,18.7,75.9,Barley,38028.3
Clay,71.4,33.0,40.5,Sugarcane,62759.04
Silt,77.8,36.5,93.2,Rice,69168.42
Clay,75.7,19.3,48.2,Groundnut,30447.27
Sandy,30.0,15.1,73.9,Rice,121909.36
Loam,56.4,20.8,85.9,Maize,50494.45
Sandy,53.4,41.7,51.0,Sugarcane,88854.13
Sandy,42.3,43.3,55.9,Sugarcane,124020.45
Loam,43.5,35.0,34.6,Pulses,50396.0
Clay,73.2,23.7,73.1,Groundnut,31846.37
Sandy,44.0,34.5,51.5,Rice,114090.32
Silt,44.1,40.2,42.1,Maize,58948.39
Loam,18.9,15.1,68.9,Wheat,61830.68
Silt,37.1,40.1,79.1,Wheat,58967.05
Silt,57.8,22.4,48.8,Groundnut,39630.32
Silt,32.6,22.0,77.1,Millet,40912.59
Clay,38.9,22.6,39.5,Wheat,52770.85
Clay,43.0,22.2,71.4,Pulses,37404.72
Sandy,78.6,40.2,70.5,Rice,102452.95
Clay,21.0,22.0,57.6,Maize,55140.49
Silt,31.3,28.3,76.4,Wheat,47868.6
Clay,12.4,17.0,64.8,Soybean,52431.16
Sandy,48.9,18.8,41.0,Pulses,45011.49
Loam,19.8,30.1,63.7,Sugarcane,93400.49
Clay,24.5,32.8,53.8,Groundnut,53274.91
Sandy,76.8,18.4,84.1,Soybean,51540.15
Silt,57.1,15.5,49.4,Rice,88437.79
Loam,54.7,36.4,56.5,Rice,107795.88
Sandy,49.5,24.4,37.3,Rice,113212.13
Silt,50.0,17.2,30.9,Maize,63272.65
Sandy,51.6,33.1,90.3,Groundnut,51975.41
Clay,46.3,26.5,84.2,Cotton,63472.45
Loam,16.0,37.7,73.1,Groundnut,62071.49
Sandy,38.8,35.2,33.7,Rice,131976.8
Loam,15.6,43.4,43.4,Sugarcane,99318.9
Clay,59.1,37.8,77.5,Pulses,29637.8
Sandy,66.5,40.5,36.8,Cotton,83869.21
Clay,57.1,27.6,37.8,Rice,101577.89
Clay,47.7,15.3,47.0,Sugarcane,76388.83
Clay,53.4,29.6,93.6,Sugarcane,82296.57
Clay,63.9,40.4,87.7,Wheat,40076.96
Silt,43.8,28.4,39.9,Millet,44240.01
Clay,22.1,20.3,31.2,Rice,105429.98
Silt,36.2,41.0,63.2,Sugarcane,99017.91
Sandy,30.9,31.5,38.8,Barley,64936.78
Clay,30.1,39.8,63.3,Pulses,36613.88
Clay,27.8,16.7,38.7,Maize,64075.59
Loam,51.1,35.9,73.2,Cotton,65640.57
Loam,62.7,20.4,55.8,Soybean,54493.64
Silt,36.3,38.9,37.3,Cotton,92408.23
Clay,52.3,28.3,58.6,Maize,47509.61
Sandy,42.9,25.9,52.8,Maize,62880.86
Clay,32.6,38.7,90.2,Pulses,34885.97
Clay,79.8,38.9,72.6,Soybean,40572.26
Sandy,37.3,39.4,31.2,Sugarcane,128882.62
Clay,72.6,42.1,64.3,Soybean,42851.17
Sandy,41.7,40.6,40.6,Millet,42672.94
Silt,38.2,42.9,90.7,Groundnut,48440.19
Clay,73.5,24.5,80.3,Soybean,36536.2
Sandy,36.4,37.0,59.6,Soybean,70160.51
Silt,63.0,32.3,71.4,Millet,35522.88
Clay,26.3,39.0,88.0,Wheat,41244.85
Clay,48.0,43.8,73.6,Millet,34322.01
Sandy,12.6,32.3,64.5,Soybean,68270.18
Sandy,11.6,17.3,43.7,Groundnut,70766.07
Clay,72.8,37.0,31.6,Soybean,41527.51
Sandy,29.8,21.1,49.8,Groundnut,60450.27
Sandy,68.0,44.8,67.0,Wheat,52825.22
Silt,33.5,20.1,64.3,Cotton,80497.26
Loam,41.5,37.8,75.1,Groundnut,43481.72
Silt,23.3,31.1,87.0,Cotton,89319.61
Clay,29.9,26.8,89.3,Soybean,45127.44
Clay,37.3,36.0,44.7,Cotton,67911.68
Sandy,20.6,27.2,54.7,Wheat,68217.72
Loam,78.8,25.7,71.5,Cotton,52784.07
Clay,36.1,37.5,60.6,Sugarcane,88965.63
Clay,76.6,22.1,70.0,Millet,24354.84
Silt,38.2,31.3,38.7,Pulses,43956.95
Sandy,43.7,31.7,86.6,Sugarcane,96109.77
Silt,42.0,32.3,85.9,Sugarcane,83565.39
Loam,68.4,19.1,68.8,Millet,27679.32
Loam,20.2,34.2,55.8,Wheat,68834.19
Clay,54.7,33.1,40.1,Groundnut,36547.33
Clay,29.9,18.2,71.2,Rice,95744.61
Clay,24.8,33.5,78.8,Wheat,53258.96
Sandy,27.2,31.2,40.7,Pulses,51306.85
Clay,61.7,34.4,68.4,Maize,40733.48
Sandy,48.7,16.6,90.9,Sugarcane,90994.99
Clay,17.3,29.2,46.7,Soybean,62513.74
Sandy,25.1,24.6,59.1,Pulses,57795.21
Clay,22.9,27.6,53.9,Maize,60182.7
Loam,40.2,28.7,60.3,Barley,54470.26
Silt,52.1,17.4,51.3,Rice,106593.66
Sandy,55.9,27.9,86.5,Soybean,61104.43
Sandy,64.6,41.7,57.0,Rice,113509.05
Clay,16.3,22.5,83.2,Rice,116931.36
Loam,47.8,32.0,46.3,Pulses,41387.98
Silt,23.0,17.7,73.5,Millet,45283.87
Loam,56.7,40.6,59.1,Groundnut,49201.39
Sandy,26.8,37.9,85.6,Pulses,45815.11
Silt,21.7,29.4,34.9,Millet,47659.3
Sandy,54.9,23.9,82.5,Sugarcane,92374.81
Clay,14.0,27.8,56.2,Pulses,44035.83
Silt,35.6,41.2,61.1,Cotton,70581.9
Sandy,24.7,26.1,90.4,Sugarcane,119953.11
Sandy,37.5,28.0,68.6,Cotton,94143.07
Sandy,17.8,36.1,83.4,Sugarcane,124098.23
Silt,23.4,24.1,77.7,Millet,48224.5
Silt,21.3,25.0,47.6,Cotton,99601.68
Sandy,66.4,31.7,75.2,Rice,100050.61
Sandy,50.0,20.4,49.3,Maize,59400.08
Sandy,37.7,33.6,62.8,Pulses,50926.29
Sandy,31.3,44.7,76.9,Soybean,76488.04
Clay,74.5,25.7,84.7,Soybean,35645.3
Sandy,63.8,20.7,38.3,Cotton,73567.96
Clay,31.8,22.7,78.1,Millet,34009.46
Loam,35.6,19.2,32.0,Pulses,46060.91
Sandy,47.5,27.8,77.9,Rice,97247.15
Loam,62.0,20.3,43.0,Groundnut,41609.31
Sandy,75.4,37.0,72.7,Rice,78804.22
Loam,57.3,38.7,72.5,Barley,48435.67
Silt,12.8,22.6,84.7,Maize,69500.53
Loam,45.1,43.7,92.9,Soybean,51246.27
Loam,77.5,33.0,66.1,Sugarcane,70121.38
Clay,29.4,32.6,83.0,Maize,50088.28
Sandy,65.3,19.9,46.5,Groundnut,46962.04
Clay,77.5,24.9,80.4,Maize,44521.79
Loam,79.8,35.1,77.3,Pulses,29421.05
Clay,28.1,20.7,52.8,Rice,110379.43
Sandy,60.2,22.3,40.0,Rice,121832.13
Sandy,39.7,41.9,92.1,Rice,117203.08
Silt,76.5,25.5,54.1,Cotton,57134.33
Loam,70.0,30.9,74.7,Barley,39772.11
Sandy,17.0,31.5,49.5,Soybean,85278.0
Silt,12.8,21.9,63.3,Maize,78736.03
Loam,74.4,31.5,76.6,Cotton,48799.01
Sandy,41.8,15.9,77.7,Barley,49289.64
Loam,44.1,20.9,95.0,Millet,32892.81
Clay,66.0,34.2,63.7,Groundnut,37842.74
Silt,17.4,28.3,72.8,Rice,126614.59
Clay,57.1,39.1,92.0,Soybean,41033.4
Sandy,24.0,20.8,72.0,Sugarcane,128067.18
Loam,72.6,21.8,36.1,Millet,37326.99
Silt,20.7,19.7,93.7,Barley,50459.59
Silt,60.8,16.4,77.5,Rice,87714.62
Silt,36.3,21.3,67.5,Cotton,90572.45
Loam,13.4,25.1,56.9,Groundnut,55001.87
Sandy,33.6,18.5,30.7,Soybean,72877.92
Sandy,12.2,43.5,34.6,Millet,51507.24
Clay,68.2,42.3,54.1,Groundnut,39020.69
Loam,15.6,22.7,71.6,Sugarcane,124898.06
Loam,34.6,18.9,92.1,Sugarcane,79827.96
Loam,79.2,30.8,53.3,Wheat,40100.1
Clay,10.6,16.1,57.8,Soybean,59986.23
Silt,65.0,29.1,72.0,Rice,79193.02
Clay,17.5,18.6,38.8,Millet,40212.18
Loam,41.9,20.2,73.2,Soybean,46888.99
Silt,68.7,16.1,52.7,Groundnut,44614.28
Loam,75.7,29.6,33.6,Sugarcane,72141.42
Silt,26.4,28.4,93.2,Wheat,49984.28
Clay,66.6,21.4,44.2,Groundnut,41115.38
Sandy,48.7,23.7,74.6,Barley,54067.33
Silt,23.5,21.4,66.9,Pulses,47014.53
Loam,68.8,34.5,84.8,Rice,83566.69
Clay,73.8,39.8,88.7,Millet,23676.86
Clay,21.1,43.0,89.5,Barley,52364.73
Sandy,60.4,22.8,86.7,Barley,45449.75
Silt,39.9,17.6,86.1,Cotton,83063.05
Loam,75.0,22.5,87.2,Soybean,42721.57
Clay,61.2,37.5,33.4,Groundnut,40979.07
Loam,62.7,22.1,81.4,Soybean,51634.58
Clay,46.4,29.9,94.8,Maize,46318.71
Silt,14.9,16.1,90.1,Sugarcane,104206.49
Sandy,35.0,19.9,77.7,Rice,110770.36
Clay,31.8,38.1,73.6,Millet,38637.44
Clay,47.3,43.1,35.0,Cotton,70265.04
Clay,74.9,23.6,74.4,Groundnut,37207.54
Loam,63.8,27.9,75.8,Cotton,64506.09
Silt,70.4,34.4,39.8,Soybean,56994.17
Sandy,10.7,38.9,45.6,Cotton,118609.44
Sandy,19.5,38.3,71.4,Cotton,97553.72
Sandy,43.3,32.5,90.6,Cotton,84479.22
Sandy,64.5,35.9,66.0,Maize,65697.32
Silt,19.9,26.5,90.0,Maize,72531.68
Sandy,44.9,42.7,50.6,Rice,119305.06
Sandy,60.0,44.7,89.9,Rice,85721.48
Sandy,53.8,37.5,94.1,Wheat,48463.21
Silt,23.0,32.1,71.3,Cotton,74441.99
Sandy,71.7,27.7,41.2,Wheat,55489.83
Clay,15.8,41.8,53.0,Millet,46721.97
Clay,25.1,35.1,66.9,Barley,43089.31
Clay,71.1,40.1,72.6,Maize,36883.42
Loam,41.0,21.2,54.4,Cotton,80856.2
Loam,74.3,27.8,78.3,Rice,79639.31
Loam,68.5,42.6,90.9,Sugarcane,75969.94
Clay,51.3,36.5,35.9,Millet,31231.56
Clay,77.8,43.1,45.4,Groundnut,34406.49
Loam,18.8,42.6,35.9,Millet,41351.52
Sandy,38.1,37.5,88.3,Millet,37977.92
Sandy,30.5,27.4,90.4,Maize,70415.23
Loam,55.9,24.4,64.4,Sugarcane,77391.22
Silt,41.9,31.7,51.5,Wheat,61201.39
Loam,37.4,38.4,64.4,Millet,34555.82
Silt,46.0,28.1,85.7,Rice,96423.82
Silt,61.9,24.7,51.7,Soybean,56468.46
Sandy,33.9,25.4,79.6,Soybean,60667.43
Clay,46.5,37.5,87.4,Cotton,69249.39
Sandy,38.1,29.1,93.3,Cotton,87543.53
Clay,40.2,39.4,54.6,Rice,108347.29
Loam,25.0,22.3,65.1,Rice,129447.41
Silt,57.0,38.3,44.6,Maize,53790.88
Clay,18.7,27.9,37.6,Cotton,70998.14
Silt,11.2,42.9,37.5,Millet,57620.75
Clay,61.5,34.9,51.9,Sugarcane,85616.55
Silt,52.0,37.2,37.6,Maize,63984.6
Silt,23.4,38.2,31.8,Millet,56064.62
Silt,43.9,33.6,79.6,Soybean,59922.04
Silt,44.9,20.6,80.6,Groundnut,50542.91
Loam,44.8,33.8,59.4,Sugarcane,93230.73
Clay,22.3,30.2,59.9,Rice,118526.67
Clay,13.3,43.1,57.3,Barley,58758.66
Loam,16.0,16.3,53.7,Cotton,94905.85
Loam,19.8,26.4,79.6,Millet,41941.53
Clay,25.1,39.1,41.3,Maize,54857.47
Loam,30.9,23.2,47.9,Sugarcane,105607.89
Silt,74.1,31.5,94.8,Barley,41114.04
Sandy,67.1,29.9,85.8,Barley,44298.41
Loam,21.7,17.9,45.6,Cotton,93722.2
Clay,39.3,20.3,91.5,Cotton,59121.21
Clay,17.0,39.5,76.8,Soybean,52301.09
Sandy,43.3,37.0,62.8,Pulses,48153.22
Sandy,73.7,23.5,47.1,Wheat,51046.76
Sandy,44.5,17.8,74.6,Maize,71799.99
Silt,14.6,24.4,70.4,Groundnut,50163.51
Clay,77.7,30.4,76.2,Millet,23272.38
Clay,35.6,24.1,34.6,Rice,99099.84
Loam,77.5,42.0,57.9,Barley,44439.34
Silt,17.6,16.1,62.6,Rice,142776.87
Sandy,46.9,18.4,36.1,Pulses,54135.79
Sandy,39.0,16.3,67.7,Groundnut,50336.13
Loam,32.8,15.9,84.5,Pulses,48882.13
Clay,75.5,28.0,76.0,Millet,29917.06
Clay,10.3,18.0,67.7,Rice,100954.76
Sandy,32.2,36.2,74.9,Pulses,46111.0
Silt,49.5,36.6,55.4,Cotton,77034.48
Loam,52.7,27.1,67.7,Maize,55855.32
Silt,33.7,16.8,61.2,Pulses,45588.13
Silt,77.6,30.1,37.4,Sugarcane,84601.58
Silt,54.5,23.5,80.0,Millet,40018.43
Clay,38.2,19.9,33.9,Pulses,37020.69
Clay,60.2,42.4,60.1,Soybean,50967.76
Silt,45.0,20.1,73.8,Groundnut,44368.37
Loam,64.2,44.1,83.1,Pulses,35933.4
Clay,29.8,26.4,66.7,Cotton,73052.32
Sandy,67.5,19.2,47.5,Sugarcane,101036.8
Sandy,77.9,16.6,68.2,Soybean,52559.09
Clay,29.5,17.4,70.2,Rice,93928.63
Silt,70.6,31.6,58.6,Maize,50210.75
Clay,43.4,35.1,46.9,Cotton,63072.33
Clay,76.4,35.3,50.1,Wheat,41484.04
Loam,75.4,25.1,81.7,Barley,38371.26
Sandy,76.1,44.2,63.2,Millet,31659.61
Loam,13.2,32.3,78.6,Cotton,94296.05
Clay,52.6,26.6,48.7,Barley,41271.5
Silt,23.1,40.4,65.9,Cotton,73729.84
Silt,17.0,23.8,46.9,Rice,128583.16
Loam,69.3,32.5,53.7,Barley,41626.63
Sandy,28.6,43.0,49.8,Pulses,59099.47
Clay,25.2,37.4,61.1,Soybean,61733.58
Sandy,16.5,29.9,64.4,Wheat,59298.95
Sandy,12.9,28.1,33.6,Soybean,69511.19
Loam,52.8,17.4,40.7,Wheat,53226.0
Loam,34.8,38.9,87.0,Wheat,54067.57
Clay,47.7,33.8,60.0,Wheat,41056.09
Clay,80.0,16.9,55.8,Rice,67600.28
Clay,54.9,40.7,33.7,Barley,40081.25
Silt,78.3,31.2,36.9,Sugarcane,70982.23
Clay,59.1,20.5,61.6,Rice,84715.15
Loam,51.5,33.5,50.3,Rice,111529.17
Sandy,30.5,18.5,38.3,Pulses,53242.86
Loam,48.9,40.0,82.6,Sugarcane,92891.24
Loam,75.6,34.4,69.6,Maize,53235.07
Silt,63.8,39.5,32.7,Soybean,57105.36
Silt,48.0,35.9,86.3,Barley,45328.05
Sandy,73.8,21.8,79.6,Soybean,51493.24
Loam,48.3,17.3,75.7,Rice,95017.59
Clay,68.1,27.0,64.7,Cotton,54207.69
Loam,48.2,38.8,31.7,Maize,57139.64
Clay,12.2,28.4,47.7,Barley,61683.1
Loam,43.7,31.0,81.8,Maize,55309.28
Sandy,23.9,41.4,66.0,Barley,54371.93
Clay,27.9,35.0,85.2,Cotton,68528.2
Clay,71.5,42.6,71.8,Rice,84409.65
Clay,48.4,40.5,51.1,Cotton,70134.57
Clay,79.7,21.1,70.2,Rice,78626.14
Sandy,28.8,42.5,67.4,Pulses,46802.51
Loam,71.1,21.7,53.1,Cotton,65388.78
Clay,65.8,30.4,34.1,Pulses,37463.22
Silt,36.3,42.1,55.7,Cotton,86764.47
Sandy,43.1,22.8,41.6,Cotton,88060.75
Loam,34.0,34.7,50.9,Pulses,45522.97
Sandy,45.7,42.0,57.3,Sugarcane,123656.81
Loam,47.9,16.9,72.3,Sugarcane,96425.16
Sandy,48.3,26.7,87.6,Barley,46522.87
Loam,47.3,41.4,36.7,Soybean,64942.1
Silt,13.5,23.6,30.0,Groundnut,68216.13
Loam,25.6,42.1,37.6,Maize,67258.15
Loam,21.4,19.7,73.7,Barley,53846.73
Clay,50.0,15.4,62.7,Cotton,58817.91
Sandy,54.8,16.5,71.6,Wheat,57860.37
Sandy,19.8,19.5,41.8,Wheat,81049.68
Clay,65.1,42.5,31.5,Barley,38328.75
Clay,34.9,15.3,58.2,Wheat,48038.26
Sandy,19.0,30.0,67.1,Cotton,86000.25
Loam,35.2,22.0,61.8,Cotton,82512.34
Loam,26.1,30.3,72.3,Groundnut,48548.47
Silt,45.1,18.0,51.5,Wheat,47480.02
Sandy,56.8,15.6,31.8,Cotton,70955.55
Clay,49.1,24.3,30.4,Millet,37095.33
Sandy,54.3,24.9,61.9,Sugarcane,112677.9
Clay,64.3,33.0,32.9,Groundnut,37392.9
Loam,42.5,17.9,92.9,Barley,40839.72
Clay,78.7,29.6,88.7,Wheat,34823.85
Loam,67.5,19.9,34.9,Soybean,56582.25
Sandy,38.7,42.3,35.6,Barley,64177.64
Loam,60.8,41.0,53.5,Rice,86766.79
Silt,40.0,44.6,59.8,Barley,56850.98
Sandy,34.4,25.3,62.0,Barley,56905.72
Silt,39.4,44.1,84.1,Groundnut,52582.13
Silt,49.7,35.8,48.3,Sugarcane,108539.57
Silt,74.5,35.6,43.1,Sugarcane,70878.55
Sandy,28.4,33.4,63.1,Barley,54901.11
Sandy,13.9,28.4,92.3,Maize,85330.73
Sandy,22.7,26.5,56.4,Sugarcane,123670.46
Loam,71.3,36.3,85.1,Barley,42187.71
Sandy,72.9,40.0,44.2,Maize,60250.07
Sandy,11.7,16.7,64.3,Groundnut,64311.05
Loam,59.0,40.9,85.1,Sugarcane,70485.58
Sandy,54.5,32.1,51.4,Cotton,71427.6
Silt,37.8,41.1,50.2,Maize,68929.05
Sandy,70.6,34.7,40.3,Cotton,72297.24
Clay,30.3,41.7,74.1,Cotton,75403.66
Clay,70.5,25.8,54.7,Soybean,48110.27
Clay,43.4,22.9,76.0,Sugarcane,80885.08
Loam,31.1,15.4,31.3,Pulses,47053.12
Silt,70.1,27.5,86.2,Cotton,61332.47
Silt,74.3,32.5,91.5,Millet,27618.87
Clay,69.1,25.7,76.2,Maize,47700.99
Sandy,24.7,15.0,37.1,Groundnut,60159.43
Clay,71.3,15.8,70.3,Pulses,29450.31
Silt,64.2,20.9,90.9,Sugarcane,68218.68
Silt,73.2,31.4,40.8,Maize,50629.76
Silt,34.8,26.1,94.4,Pulses,48492.06
Silt,35.8,31.1,44.5,Pulses,47054.46
Silt,19.5,36.4,90.3,Millet,46961.1
Silt,41.7,33.6,88.9,Barley,48783.23
Sandy,36.6,41.7,76.4,Maize,71291.73
Sandy,54.4,33.8,42.5,Sugarcane,116444.12
Loam,19.0,17.0,32.7,Groundnut,55966.5
Silt,52.2,40.2,48.4,Cotton,68491.35
Clay,50.3,21.5,84.0,Millet,35705.8
Loam,60.9,30.6,35.9,Soybean,56628.34
Sandy,46.8,39.1,86.5,Maize,69654.55
Clay,27.3,36.8,67.5,Groundnut,43488.36
Silt,32.4,29.3,94.8,Rice,112248.36
Loam,23.4,44.4,87.6,Millet,35531.69
Sandy,53.8,38.4,41.9,Rice,102373.5
Sandy,59.3,37.3,51.7,Cotton,81145.19
Clay,59.2,44.9,62.7,Pulses,33596.67
Clay,10.3,23.8,56.6,Rice,111915.2
Clay,63.4,38.6,92.9,Millet,28175.31
Loam,76.8,18.2,89.4,Wheat,43306.48
Sandy,65.5,32.8,50.9,Rice,90911.4
Sandy,44.3,36.6,89.0,Wheat,61178.63
Silt,17.6,15.8,58.3,Groundnut,59356.2
Sandy,40.7,40.3,71.9,Maize,71258.43
Clay,16.4,25.8,50.2,Sugarcane,87276.17
Silt,32.8,19.0,93.2,Wheat,54474.45
Sandy,50.4,20.5,79.7,Wheat,57747.52
Clay,69.2,16.4,86.9,Maize,45555.92
Clay,67.9,43.6,56.5,Millet,26788.12
Sandy,37.0,24.9,85.9,Pulses,44997.47
Loam,50.1,20.9,86.7,Maize,51977.93
Silt,37.6,34.6,71.6,Groundnut,56417.8
Silt,16.7,26.7,35.7,Groundnut,55261.39
Clay,44.1,25.4,41.7,Soybean,57365.28
Loam,29.1,19.8,70.7,Sugarcane,90777.28
Clay,25.2,33.6,81.6,Cotton,67413.67
Loam,56.5,44.9,68.9,Barley,49680.22
Loam,21.3,22.0,44.6,Wheat,62486.97
Sandy,24.2,19.2,95.0,Wheat,60013.51
Loam,16.3,32.5,49.2,Barley,51310.1
Clay,77.1,40.8,57.9,Groundnut,34725.32
Clay,66.1,21.0,70.5,Groundnut,32260.12
Silt,75.5,29.3,41.4,Cotton,54233.69
Silt,42.8,22.7,73.0,Cotton,76508.77
Sandy,12.8,41.1,60.1,Pulses,67977.25
Sandy,58.6,39.4,84.4,Sugarcane,82021.98
Loam,70.3,28.1,32.3,Barley,48101.8
Silt,32.6,36.1,49.6,Sugarcane,106367.49
Clay,23.1,26.0,30.2,Barley,54281.27
Silt,12.8,21.5,49.9,Maize,72409.76
Clay,11.1,26.2,38.5,Rice,105170.92
Loam,64.8,43.3,39.9,Maize,57540.76
Loam,45.4,25.3,60.0,Barley,48320.15
Loam,39.0,39.7,39.9,Groundnut,57668.24
Loam,60.9,37.2,63.0,Wheat,40737.84
Silt,21.3,29.0,48.5,Soybean,75784.51
Loam,67.6,42.2,55.9,Sugarcane,83186.88
Loam,63.9,41.1,54.8,Millet,29850.69
Loam,54.8,15.7,61.4,Rice,97876.27
Sandy,71.7,16.9,65.8,Wheat,53178.84
Silt,59.2,43.7,92.8,Pulses,39006.15
Loam,18.9,30.6,67.9,Millet,44940.49
Silt,77.9,28.7,33.4,Rice,76614.92
Sandy,15.9,20.3,64.1,Maize,71829.77
Sandy,33.5,30.2,66.4,Wheat,55134.28
Loam,14.5,27.6,45.7,Sugarcane,117672.61
Silt,12.5,15.3,76.1,Maize,81175.84
Loam,37.3,42.3,35.9,Soybean,54690.76
Loam,10.7,25.2,50.0,Wheat,57875.94
Silt,17.1,28.6,30.3,Pulses,56465.75
Silt,52.6,36.3,92.7,Millet,39519.98
Clay,65.2,16.1,43.7,Wheat,41420.19
Loam,64.8,24.2,47.7,Wheat,42171.84
Loam,26.6,42.8,83.5,Groundnut,53985.12
Silt,30.4,24.7,71.5,Soybean,60108.0
Clay,49.3,43.5,72.7,Pulses,33400.1
Clay,71.5,34.4,76.0,Groundnut,37772.86
Sandy,14.7,26.2,68.4,Soybean,76378.76
Sandy,18.4,34.2,85.4,Wheat,57664.54
Clay,67.4,26.2,54.3,Barley,35202.92
Sandy,65.2,33.4,38.5,Maize,54434.42
Clay,42.2,38.7,36.7,Maize,57585.48
Loam,76.1,38.4,30.4,Rice,76533.79
Clay,36.4,24.1,59.2,Cotton,75534.49
Clay,21.1,18.0,39.7,Sugarcane,108755.23
Silt,70.3,27.7,76.8,Barley,41073.56
Sandy,47.5,15.3,35.4,Rice,138267.87
Loam,24.5,23.7,55.0,Rice,114804.55
Silt,71.2,24.6,92.9,Rice,88180.03
Silt,19.3,28.1,75.7,Cotton,73822.48
Silt,36.1,27.7,65.9,Maize,68080.06
Clay,41.7,41.9,61.4,Millet,35817.13
Clay,44.4,19.9,42.2,Groundnut,43383.5
Silt,16.5,31.8,65.2,Sugarcane,129837.79
Silt,62.2,39.3,71.7,Cotton,68433.79
Sandy,50.9,17.2,81.7,Soybean,56140.93
Clay,40.6,17.5,88.2,Rice,92646.19
Clay,31.1,22.8,42.2,Pulses,44289.11
Silt,70.4,37.6,43.0,Pulses,38383.32
Clay,11.9,24.1,41.7,Millet,43305.54
Sandy,55.9,25.7,45.0,Cotton,91574.66
Clay,23.1,20.9,75.8,Millet,40187.19
Clay,38.4,36.9,93.4,Wheat,43606.8
Silt,77.4,30.4,46.1,Rice,88300.45
Clay,32.7,21.6,90.5,Wheat,48654.16
Silt,27.4,38.5,46.7,Sugarcane,114443.2
Clay,60.8,18.1,54.9,Soybean,43183.07
Silt,11.0,33.5,44.1,Barley,63326.74
Clay,79.6,38.2,31.0,Wheat,33262.76
Clay,52.2,35.5,56.5,Cotton,71514.72
Silt,43.6,31.7,87.5,Pulses,40956.83
Clay,63.4,23.3,74.9,Barley,41786.62
Loam,21.1,15.6,94.2,Rice,119929.1
Loam,18.1,26.1,84.3,Wheat,63800.74
Sandy,39.7,26.5,70.0,Soybean,55405.12
Clay,59.9,17.7,33.5,Maize,58211.24
Loam,21.3,33.6,48.2,Cotton,91528.44
Sandy,63.6,43.7,51.3,Millet,37071.06
Silt,19.1,36.2,47.2,Cotton,84665.63
Loam,29.8,23.0,45.0,Pulses,43850.43
Silt,55.0,26.7,42.9,Sugarcane,84851.8
Sandy,61.0,38.3,73.8,Maize,54367.69
Clay,53.1,24.2,53.7,Rice,87218.75
Loam,67.3,37.7,87.1,Pulses,35282.07
Clay,37.0,24.6,73.8,Wheat,41861.58
Sandy,12.8,28.0,83.2,Cotton,104903.93
Silt,30.9,25.9,76.6,Wheat,60076.46
Clay,22.1,31.3,46.3,Wheat,47582.67
Clay,74.7,43.6,34.9,Groundnut,35622.49
Loam,29.7,39.1,49.3,Cotton,75657.54
